YEAR,ZIP,ADDRESS,CITY,STATE,POPULATION_2024,POTENTIAL_MARKET,AVERAGE_INCOME,STORE_NAME,NORMALIZED_REVENUE_2023,NORMALIZED_REVENUE_2024,LATITUDE,LONGITUDE
2024,60123,803 SOUTH RANDALL ROAD,Elgin,IL,"  50,776","$  24,545,711","$      88,583",175 - ELGIN IL,0.366234372,,42.0133145,-88.3364096
2024,60435,2526 WEST JEFFERSON STREET,Joliet,IL,"  48,691","$  23,873,441","$      78,953",164 - JOLIET IL,0.260162308,0.000000000,41.522038031,-88.144860862
2024,60504,750 NORTH ROUTE 59,Aurora,IL,"  40,442","$  21,145,497","$     108,210",168 - AURORA IL,0.065134936,0.000000000,41.76607,-88.20604
2024,60563,1126 E OGDEN AVE,Naperville,IL,"  38,941","$  19,664,518","$     134,614",160 - NAPERVILLE IL,0.222119835,0.000000000,41.7925107,-88.126975962
2024,60110,34 SOUTH KENNEDY ROAD,Carpentersville,IL,"  39,250","$  18,651,565","$      93,466",182 - CARPENTERSVILLE IL,0.184033419,,42.120979,-88.257956
2024,60074,2021 NORTH RAND ROAD,Palatine,IL,"  37,031","$  18,633,374","$      93,164",181 - PALATINE IL,0.291174814,,42.1332003,-88.0118509
2024,60185,440 NORTH AVENUE,West Chicago,IL,"  33,545","$  16,664,524","$     111,959",170 - WEST CHICAGO IL,0.243822395,,41.9152681,-88.2086841
2024,60181,299 W ROOSEVELT ROAD,Villa Park,IL,"  31,446","$  16,195,671","$      97,084",163 - VILLA PARK IL,0.478848956,1.000000000,41.86042,-87.98498
2024,60174,101 SOUTH RANDALL ROAD,Saint Charles,IL,"  30,397","$  15,082,663","$     127,828",167 - ST. CHARLES IL,0.325798091,0.000000000,41.910875436,-88.340074839
2024,60538,1937 E. BASE LINE ROAD,Montgomery,IL,"  30,847","$  14,614,638","$      92,720",174 - MONTGOMERY IL,0.000000000,,41.7221075,-88.3723038
2024,60431,1301 IL ROUTE 59,Joliet,IL,"  28,004","$  13,823,294","$     115,588",165 - JOLIET SHOREWOOD IL,0.718611782,1.000000000,41.54515,-88.19967
2024,60560,1735 MARKETVIEW DRIVE,Yorkville,IL,"  28,003","$  13,600,858","$     126,264",173 - YORKVILLE IL,0.838761889,,41.6625526,-88.4416691
2024,60510,1980 MCKEE STREET,Batavia,IL,"  28,294","$  13,597,550","$     137,280",183 - BATAVIA IL,0.041943213,,41.854120767,-88.339615378
2024,60914,2073 NORTH STATE ROUTE 50,Bourbonnais,IL,"  27,722","$  13,166,735","$      94,125",178 - BRADLEY IL,0.314031549,,41.166397,-87.851236
2024,60559,6490 SOUTH CASS AVENUE,Westmont,IL,"  24,695","$  12,373,738","$     107,636",176 - WESTMONT IL,0.344162251,,41.770212687,-87.974332875
2024,60448,19966 SOUTH LA GRANGE ROAD,Mokena,IL,"  24,614","$  12,361,334","$     131,788",166 - MOKENA IL,0.795374779,1.000000000,41.52872082,-87.850253084
2024,60108,126 SOUTH GARY AVENUE,Bloomingdale,IL,"  23,965","$  11,566,683","$     123,992",179 - BLOOMINGDALE IL,0.306627673,,41.9529472,-88.1204074
2024,60467,9526 WEST 159 STREET,Orland Park,IL,"  25,360","$  11,558,414","$     129,573",169 - ORLAND PARK IL,0.366680206,,41.6015,-87.85084
2024,60142,12420 S IL ROUTE 47,Huntley,IL,"  29,755","$  11,278,095","$      99,290",180 - HUNTLEY IL,1.000000000,,42.1226572,-88.4329499
